DIS,The Walt Disney Company,NYSE,"{""Company_Info"":{""CEO"":""Robert A. Iger"",""Industry"":""Entertainment"",""Sector"":""Media"",""HQ_Location"":""Burbank, CA"",""Website"":""http://www.disney.com""}}"
PG,The Procter & Gamble Company,NYSE,"{""Company_Info"":{""CEO"":""Alan G. Lafley"",""Industry"":""Household and Personal Products"",""Sector"":""Household Products"",""HQ_Location"":""Cincinnati, OH"",""Website"":""http://www.pg.com""}}"
JNJ,Johnson & Johnson,NYSE,"{""Company_Info"":{""CEO"":""Alex Gorsky"",""Industry"":""Pharmaceuticals"",""Sector"":""Health Care"",""HQ_Location"":""New Brunswick, NJ"",""Website"":""http://www.jnj.com""}}"
GE,General Electric Company,NYSE,"{""Company_Info"":{""CEO"":""Jeffrey R. Immelt"",""Industry"":""Diversified Financials"",""Sector"":""Financials"",""HQ_Location"":""Fairfield, CT"",""Website"":""http://www.ge.com""}}"
V,Visa Inc.,NYSE,
WMT,Wal-Mart Stores Inc.,NYSE,"{""Company_Info"":{ ""CEO"":""C. Douglas McMillon"", ""Industry"":""General Merchandisers"",""Sector"":""Retailing"",""HQ_Location"":""Bentonville, AR"",""Website"":""http://www.walmart.com""}}"
VZ,Verizon Communications Inc.,NYSE,"{""Company_Info"":{""CEO"":""Lowell C. McAdam"",""Industry"":""Telecommunications"",""Sector"":""Telecommunications"",""HQ_Location"":""New York, NY"",""Website"":""http://www.verizon.com""}}"
UTX,United Technologies Corporation,NYSE,"{""Company_Info"":{""CEO"":""Gregory J. Hayes"",""Industry"":""Aerospace and Defense"",""Sector"":""Aerospace & Defense"",""HQ_Location"":""Hartford, CT"",""Website"":""http://www.utc.com""}}"
UNH,UnitedHealth Group Incorporated,NYSE,"{""Company_Info"":{""CEO"":""Stephen J. Hemsley"",""Industry"":""Health Care: Insurance and Managed Care"",""Sector"":""Health Care"",""HQ_Location"":""Minnetonka, MN"",""Website"":""http://www.unitedhealthgroup.com""}}"
TRV,"The Travelers Companies, Inc.",NYSE,"{""Company_Info"":{""CEO"":""Jay S. Fishman"",""Industry"":""Insurance: Property and Casualty (Stock)"",""Sector"":""Financials"",""HQ_Location"":""New York, NY"",""Website"":""http://www.travelers.com""}}"
